gene_a,gene_b,string_score,ncbi_tax_id
CYP3A5,TPMT,0.757,9606
CYP3A5,ABCB1,0.92,9606
CYP3A5,CYP2C8,0.956,9606
CYP3A5,CYP1A2,0.96,9606
CYP3A5,CYP2B6,0.97,9606
CYP3A5,CYP1A1,0.971,9606
KRAS,ABCB1,0.504,9606
KRAS,BRCA2,0.721,9606
KRAS,NRAS,0.944,9606
KRAS,TP53,0.949,9606
KRAS,EGFR,0.997,9606
TP53,CYP1A2,0.581,9606
TP53,ABCB1,0.617,9606
TP53,CYP1A1,0.697,9606
TP53,NRAS,0.876,9606
TP53,EGFR,0.943,9606
TP53,BRCA2,0.995,9606
EGFR,CYP1A1,0.592,9606
EGFR,ABCB1,0.619,9606
EGFR,BRCA2,0.678,9606
EGFR,NRAS,0.991,9606
TPMT,CYP1A1,0.449,9606
TPMT,CYP1A2,0.504,9606
TPMT,ABCB1,0.518,9606
TPMT,CYP2C8,0.52,9606
TPMT,CYP2B6,0.609,9606
CYP2B6,ABCB1,0.741,9606
CYP2B6,CYP2C8,0.917,9606
CYP2B6,CYP1A1,0.959,9606
CYP2B6,CYP1A2,0.963,9606
CYP1A2,ABCB1,0.676,9606
CYP1A2,CYP2C8,0.946,9606
CYP1A2,CYP1A1,0.95,9606
NRAS,BRCA2,0.521,9606
CYP2C8,ABCB1,0.722,9606
CYP2C8,CYP1A1,0.955,9606
CYP1A1,ABCB1,0.587,9606
