rank,gene,importance_score,is_ground_truth_causal
1,CYP1A2,1.0,True
2,CYP2B6,0.8062376379966736,True
3,BRCA2,0.6808967590332031,False
4,GENE_045,0.6304270029067993,False
5,CYP1A1,0.5446233749389648,True
6,TPMT,0.5403053760528564,False
7,ABCB1,0.5100778341293335,False
8,EGFR,0.448670357465744,False
9,KRAS,0.4045422673225403,False
10,CYP3A5,0.38699889183044434,False
11,GENE_048,0.3837248682975769,False
12,GENE_043,0.38314807415008545,False
13,CYP2C8,0.3600318431854248,False
14,NRAS,0.34033986926078796,False
15,TP53,0.3320901393890381,False
