replicate,order,model_type,maf,heritability,detected_all_top_5pct,precision_top_5pct,recall_top_5pct,f1_top_5pct,precision_exact,recall_exact,mean_causal_rank,max_causal_rank
1,2,additive,0.2,0.4,1,0.4,1.0,0.5714285714285715,1.0,1.0,1.5,2
2,2,additive,0.2,0.4,0,0.2,0.5,0.28571428571428575,0.0,0.0,47.5,91
3,2,additive,0.2,0.4,1,0.4,1.0,0.5714285714285715,1.0,1.0,1.5,2
4,2,additive,0.2,0.4,0,0.0,0.0,0.0,0.0,0.0,9.0,10
5,2,additive,0.2,0.4,0,0.2,0.5,0.28571428571428575,0.0,0.0,7.5,12
6,2,additive,0.2,0.4,1,0.4,1.0,0.5714285714285715,1.0,1.0,1.5,2
7,2,additive,0.2,0.4,1,0.4,1.0,0.5714285714285715,1.0,1.0,1.5,2
8,2,additive,0.2,0.4,0,0.0,0.0,0.0,0.0,0.0,58.5,83
9,2,additive,0.2,0.4,1,0.4,1.0,0.5714285714285715,1.0,1.0,1.5,2
10,2,additive,0.2,0.4,0,0.2,0.5,0.28571428571428575,0.0,0.0,5.0,6
11,2,additive,0.2,0.4,1,0.4,1.0,0.5714285714285715,1.0,1.0,1.5,2
12,2,additive,0.2,0.4,1,0.4,1.0,0.5714285714285715,1.0,1.0,1.5,2
13,2,additive,0.2,0.4,1,0.4,1.0,0.5714285714285715,1.0,1.0,1.5,2
14,2,additive,0.2,0.4,1,0.4,1.0,0.5714285714285715,1.0,1.0,1.5,2
15,2,additive,0.2,0.4,0,0.2,0.5,0.28571428571428575,0.0,0.0,35.0,65
16,2,additive,0.2,0.4,1,0.4,1.0,0.5714285714285715,1.0,1.0,1.5,2
17,2,additive,0.2,0.4,1,0.4,1.0,0.5714285714285715,0.5,0.5,2.5,4
18,2,additive,0.2,0.4,1,0.4,1.0,0.5714285714285715,1.0,1.0,1.5,2
19,2,additive,0.2,0.4,1,0.4,1.0,0.5714285714285715,1.0,1.0,1.5,2
20,2,additive,0.2,0.4,1,0.4,1.0,0.5714285714285715,0.5,0.5,3.0,4
