replicate,order,model_type,maf,heritability,detected_all_top_5pct,precision_top_5pct,recall_top_5pct,f1_top_5pct,precision_exact,recall_exact,mean_causal_rank,max_causal_rank
1,2,threshold,0.2,0.4,0,0.0,0.0,0.0,0.0,0.0,37.5,65
2,2,threshold,0.2,0.4,1,0.4,1.0,0.5714285714285715,1.0,1.0,1.5,2
3,2,threshold,0.2,0.4,0,0.2,0.5,0.28571428571428575,0.5,0.5,4.0,7
4,2,threshold,0.2,0.4,1,0.4,1.0,0.5714285714285715,1.0,1.0,1.5,2
5,2,threshold,0.2,0.4,1,0.4,1.0,0.5714285714285715,1.0,1.0,1.5,2
6,2,threshold,0.2,0.4,0,0.2,0.5,0.28571428571428575,0.5,0.5,12.5,24
7,2,threshold,0.2,0.4,1,0.4,1.0,0.5714285714285715,0.5,0.5,3.0,5
8,2,threshold,0.2,0.4,1,0.4,1.0,0.5714285714285715,0.5,0.5,2.0,3
9,2,threshold,0.2,0.4,1,0.4,1.0,0.5714285714285715,0.5,0.5,2.5,3
10,2,threshold,0.2,0.4,1,0.4,1.0,0.5714285714285715,0.5,0.5,2.5,3
