replicate,order,model_type,maf,heritability,detected_all_top_5pct,precision_top_5pct,recall_top_5pct,f1_top_5pct,precision_exact,recall_exact,mean_causal_rank,max_causal_rank
1,2,xor,0.2,0.4,0,0.2,0.5,0.28571428571428575,0.0,0.0,16.5,30
2,2,xor,0.2,0.4,0,0.0,0.0,0.0,0.0,0.0,41.5,64
3,2,xor,0.2,0.4,0,0.0,0.0,0.0,0.0,0.0,56.0,100
4,2,xor,0.2,0.4,0,0.0,0.0,0.0,0.0,0.0,63.5,87
5,2,xor,0.2,0.4,0,0.0,0.0,0.0,0.0,0.0,43.5,68
6,2,xor,0.2,0.4,0,0.0,0.0,0.0,0.0,0.0,41.5,75
7,2,xor,0.2,0.4,0,0.0,0.0,0.0,0.0,0.0,69.0,98
8,2,xor,0.2,0.4,0,0.2,0.5,0.28571428571428575,0.5,0.5,6.5,12
9,2,xor,0.2,0.4,0,0.0,0.0,0.0,0.0,0.0,16.0,20
10,2,xor,0.2,0.4,1,0.4,1.0,0.5714285714285715,1.0,1.0,1.5,2
